name,online_order,book_table,rate,sentiment,votes,location,rest_type,cuisines_cleaned,approx_cost(for two people),listed_in(type),online_order_label,book_table_label
Jalsa,1,1,4.1,Excellent,775,1,27,"North Indian, Mughlai, Chinese",800.0,0,Yes,Yes
Spice Elephant,1,0,4.1,Excellent,787,1,27,"Chinese, North Indian, Thai",800.0,0,Yes,No
San Churro Cafe,1,0,3.8,Good,918,1,22,"Cafe, Mexican, Italian",800.0,0,Yes,No
Addhuri Udupi Bhojana,0,0,3.7,Good,88,1,78,"South Indian, North Indian",300.0,0,No,No
Grand Village,0,0,3.8,Good,166,4,27,"North Indian, Rajasthani",600.0,0,No,No
Timepass Dinner,1,0,3.8,Good,286,4,27,North Indian,600.0,0,Yes,No
Rosewood International Hotel - Bar & Restaurant,0,0,3.6,Good,8,57,27,"North Indian, South Indian, Andhra, Chinese",800.0,0,No,No
Onesta,1,1,4.6,Excellent,2556,1,29,"Pizza, Cafe, Italian",600.0,1,Yes,Yes
Penthouse Cafe,1,0,4.0,Excellent,324,1,19,"Cafe, Italian, Continental",700.0,1,Yes,No
Smacznego,1,0,4.2,Excellent,504,1,19,"Cafe, Mexican, Italian, Momos, Beverages",550.0,1,Yes,No
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,1,0,4.1,Excellent,402,1,19,Cafe,500.0,1,Yes,No
Cafe Shuffle,1,1,4.2,Excellent,150,1,19,"Cafe, Italian, Continental",600.0,1,Yes,Yes
The Coffee Shack,1,1,4.2,Excellent,164,1,19,"Cafe, Chinese, Continental, Italian",500.0,1,Yes,Yes
Caf-Eleven,0,0,4.0,Excellent,424,1,19,"Cafe, Continental",450.0,1,No,No
San Churro Cafe,1,0,3.8,Good,918,1,22,"Cafe, Mexican, Italian",800.0,1,Yes,No
Cafe Vivacity,1,0,3.8,Good,90,1,19,Cafe,650.0,1,Yes,No
Catch-up-ino,1,0,3.9,Good,133,1,19,"Cafe, Fast Food, Continental, Chinese, Momos",800.0,1,Yes,No
Kirthi's Biryani,1,0,3.8,Good,144,1,19,"Chinese, Cafe, Italian",700.0,1,Yes,No
T3H Cafe,0,0,3.9,Good,93,1,19,"Cafe, Italian, American",300.0,1,No,No
360 Atoms Restaurant And Cafe,1,0,3.1,Good,13,1,19,"Cafe, Chinese, Continental, Italian",400.0,1,Yes,No
The Vintage Cafe,1,0,3.0,Good,62,1,19,"Cafe, French, North Indian",400.0,1,Yes,No
Woodee Pizza,1,0,3.7,Good,180,1,19,"Cafe, Pizza, Fast Food, Beverages",500.0,1,Yes,No
Cafe Coffee Day,0,0,3.6,Good,28,1,19,"Cafe, Fast Food",900.0,1,No,No
My Tea House,1,0,3.6,Good,62,1,81,"Italian, Fast Food, Cafe, European",600.0,1,Yes,No
Hide Out Cafe,0,0,3.7,Good,31,1,19,Cafe,300.0,1,No,No
CAFE NOVA,0,0,3.2,Good,11,1,19,"Cafe, Bakery",600.0,1,No,No
Coffee Tindi,1,0,3.8,Good,75,1,26,"Cafe, South Indian",200.0,1,Yes,No
Sea Green Cafe,0,0,3.3,Good,4,1,19,"Cafe, Fast Food, Beverages",500.0,1,No,No
Cuppa,0,0,3.3,Good,23,1,19,"Cafe, Fast Food",550.0,1,No,No
Srinathji's Cafe,0,0,3.8,Good,148,4,29,"North Indian, Cafe, Chinese, Fast Food",550.0,1,No,No
Redberrys,1,0,4.0,Excellent,219,4,19,"Cafe, Italian",600.0,1,Yes,No
Foodiction,1,0,2.8,Bad,506,1,78,"North Indian, Fast Food, Chinese, Burger",500.0,2,Yes,No
Sweet Truth,1,0,3.9,Good,35,1,39,"Bakery, Desserts",500.0,2,Yes,No
Ovenstory Pizza,1,0,3.9,Good,172,1,39,Pizza,750.0,2,Yes,No
Faasos,1,0,4.2,Excellent,415,1,78,"North Indian, Biryani, Fast Food",500.0,2,Yes,No
Behrouz Biryani,1,0,3.9,Good,230,1,39,Biryani,650.0,2,Yes,No
Fast And Fresh,1,0,2.8,Bad,91,1,78,"North Indian, Chinese, Fast Food",400.0,2,Yes,No
Szechuan Dragon,1,0,4.2,Excellent,1647,1,27,"Chinese, Thai, Momos",600.0,2,Yes,No
Empire Restaurant,1,0,4.4,Excellent,4884,32,27,"North Indian, Mughlai, South Indian, Chinese",750.0,2,Yes,No
Maruthi Davangere Benne Dosa,1,0,4.0,Excellent,17,1,78,South Indian,150.0,2,Yes,No
Chaatimes,1,0,3.8,Good,133,4,78,"Street Food, Fast Food",200.0,2,Yes,No
Havyaka Mess,0,0,3.9,Good,28,1,65,South Indian,300.0,2,No,No
McDonald's,1,0,3.9,Good,286,1,78,"Burger, Fast Food",500.0,2,Yes,No
Domino's Pizza,1,0,3.9,Good,540,1,78,"Pizza, Fast Food",800.0,2,Yes,No
Onesta,1,1,4.6,Excellent,2556,1,29,"Pizza, Cafe, Italian",600.0,2,Yes,Yes
Hotboxit,0,0,3.8,Good,36,1,39,"North Indian, Continental, Italian",400.0,2,No,No
Kitchen Garden,1,0,3.6,Good,244,49,78,"North Indian, Chinese",300.0,2,Yes,No
Recipe,1,0,4.0,Excellent,804,49,27,"North Indian, Chinese, Biryani, Rolls",450.0,2,Yes,No
Beijing Bites,1,0,3.7,Good,679,68,27,"Chinese, Thai",850.0,2,Yes,No
Tasty Bytes,1,0,3.1,Good,245,49,78,"North Indian, Chinese, Momos, Rolls",300.0,2,Yes,No
Petoo,0,0,3.7,Good,21,1,78,North Indian,450.0,2,No,No
Shree Cool Point,1,0,4.1,Excellent,28,87,78,"Fast Food, Street Food, Beverages",150.0,2,Yes,No
Corner House Ice Cream,0,0,4.3,Excellent,345,1,40,"Ice Cream, Desserts",400.0,2,No,No
Biryanis And More,1,0,4.0,Excellent,618,32,27,"Biryani, North Indian, Chinese, Andhra, South Indian",750.0,2,Yes,No
Roving Feast,0,0,4.0,Excellent,1047,1,78,"Italian, Continental, Fast Food, Chinese, Momos",450.0,2,No,No
FreshMenu,1,0,3.9,Good,627,1,39,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,2,Yes,No
Banashankari Donne Biriyani,1,0,3.8,Good,104,1,78,"Biryani, Fast Food",300.0,2,Yes,No
Wamama,1,1,4.2,Excellent,354,1,27,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800.0,2,Yes,Yes
Five Star Chicken,0,0,3.6,Good,55,1,78,"Fast Food, Burger",200.0,2,No,No
XO Belgian Waffle,1,0,3.7,Good,17,1,40,"Desserts, Beverages",400.0,2,Yes,No
Peppy Peppers,0,0,4.2,Excellent,244,1,27,"Italian, North Indian, Mexican",800.0,2,No,No
Goa 0 Km,1,1,3.6,Good,163,49,27,"Goan, Seafood, North Indian, Chinese, Biryani",800.0,2,Yes,Yes
Chinese Kitchen,1,0,3.8,Good,58,4,78,Chinese,150.0,2,Yes,No
1947,0,1,4.0,Excellent,808,1,27,"North Indian, Chinese",850.0,2,No,Yes
Cake of the Day,0,0,3.7,Good,78,1,3,Bakery,150.0,2,No,No
Kabab Magic,1,0,4.1,Excellent,1720,4,78,"North Indian, Kebab, Chinese, Fast Food",400.0,2,Yes,No
Namma Brahmin's Idli,1,0,3.6,Good,34,32,78,South Indian,100.0,2,Yes,No
Gustoes Beer House,0,0,4.1,Excellent,868,1,73,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200.0,2,No,No
Sugar Rush,0,0,3.8,Good,39,1,0,"Bakery, Desserts",300.0,2,No,No
Burger King,1,0,3.2,Good,71,4,78,"Burger, Fast Food, Beverages",600.0,2,Yes,No
The Good Bowl,1,0,3.6,Good,6,1,92,"Italian, North Indian, Biryani",500.0,2,Yes,No
The Biryani Cafe,0,0,4.1,Excellent,520,1,78,"Biryani, Chinese, Kebab",300.0,2,No,No
Spicy Tandoor,0,0,4.5,Excellent,0,1,78,North Indian,150.0,2,No,No
LSD Cafe,0,0,2.9,Bad,84,1,39,"Chinese, Continental, Italian, North Indian",700.0,2,No,No
Rolls On Wheels,0,0,3.6,Good,299,1,78,"Fast Food, Rolls, Momos",300.0,2,No,No
Om Sri Vinayaka Chats,0,0,3.7,Good,0,1,92,"Street Food, Fast Food",500.0,2,No,No
Sri Guru Kottureshwara Davangere Benne Dosa,1,0,4.1,Excellent,558,4,78,South Indian,150.0,2,Yes,No
Devanna Dum Biriyani Centre,1,0,3.6,Good,28,1,78,"Biryani, South Indian",300.0,2,Yes,No
Kolbeh,0,0,3.7,Good,22,1,78,Fast Food,500.0,2,No,No
Upahar Sagar,0,0,3.8,Good,39,1,78,"South Indian, Chinese, North Indian",350.0,2,No,No
Kadalu Sea Food Restaurant,1,0,3.8,Good,153,87,49,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500.0,2,Yes,No
Frozen Bottle,1,0,4.2,Excellent,146,1,14,"Beverages, Desserts, Ice Cream",400.0,2,Yes,No
Parimala Sweets,0,0,3.5,Good,14,1,88,"Mithai, Street Food",200.0,2,No,No
Vaishali Deluxe,0,0,3.8,Good,42,1,27,"North Indian, Chinese",700.0,2,No,No
Chill Out,0,0,4.0,Excellent,0,1,78,"South Indian, Chinese",100.0,2,No,No
The Big O Bakes,0,0,4.0,Excellent,66,1,0,"Bakery, Desserts",300.0,2,No,No
Meghana Foods,1,0,4.4,Excellent,4401,32,27,"Biryani, North Indian, Chinese",600.0,2,Yes,No
Krishna Sagar,0,0,3.5,Good,31,1,78,North Indian,200.0,2,No,No
Dessert Rose,0,0,3.5,Good,7,1,40,Desserts,500.0,2,No,No
Chickpet Donne Biryani House,0,0,3.7,Good,21,1,78,Biryani,250.0,2,No,No
Me And My Cake,0,0,1.0,Bad,0,1,39,"Bakery, Desserts",500.0,2,No,No
Sunsadm,0,0,3.7,Good,0,1,92,South Indian,400.0,2,No,No
Annapooraneshwari Mess,0,0,3.7,Good,0,1,65,South Indian,200.0,2,No,No
Thanco's Natural Ice Creams,0,0,3.2,Good,9,1,40,Ice Cream,300.0,2,No,No
Nandhini Deluxe,0,0,2.6,Bad,283,1,27,North Indian,600.0,2,No,No
Vi Ra's Bar and Restaurant,0,0,3.3,Good,62,1,8,"South Indian, North Indian, Chinese",800.0,2,No,No
Kaggis,0,0,3.8,Good,64,1,78,"Fast Food, Bakery",250.0,2,No,No
Ayda Persian Kitchen,0,0,3.7,Good,39,1,27,"North Indian, Iranian",950.0,2,No,No
Chatar Patar,0,0,3.7,Good,65,1,78,"Fast Food, Street Food",300.0,2,No,No
Polar Bear,1,0,3.8,Good,71,4,40,"Ice Cream, Desserts, Beverages, Sandwich",400.0,2,Yes,No
Kidambi's Kitchen,0,0,3.5,Good,52,1,78,South Indian,300.0,2,No,No
Mane Thindi,0,0,3.7,Good,130,1,78,South Indian,200.0,2,No,No
Kotian Karavali Restaurant,0,0,3.5,Good,10,1,78,"South Indian, Biryani",300.0,2,No,No
Floured-Baked With Love,0,0,3.8,Good,45,1,92,Bakery,400.0,2,No,No
CAFE NOVA,0,0,3.2,Good,11,1,19,"Cafe, Bakery",600.0,2,No,No
Cakes & Slices,0,0,3.5,Good,13,1,0,"Bakery, Desserts",300.0,2,No,No
Spice 9,0,0,3.4,Good,8,1,78,"Biryani, North Indian, Chinese, Fast Food",300.0,2,No,No
Coffee Shopee,0,0,3.7,Good,0,1,92,Beverages,250.0,2,No,No
Naveen Kabab & Biriyani Mane,0,0,3.2,Good,9,1,78,Biryani,300.0,2,No,No
Katriguppe Donne Biryani,0,0,3.2,Good,4,1,78,North Indian,300.0,2,No,No
Hari Super Sandwich,0,0,1.0,Bad,0,1,92,"Sandwich, Pizza, Beverages",200.0,2,No,No
Atithi Point Ande Ka Funda,0,0,3.1,Good,29,1,78,North Indian,150.0,2,No,No
Just Bake,0,0,3.4,Good,8,1,0,"Bakery, Desserts",400.0,2,No,No
Dharwad Line Bazaar Mishra Pedha,0,0,3.7,Good,0,1,40,Mithai,150.0,2,No,No
Cake Bite,0,0,1.0,Bad,0,1,0,Bakery,300.0,2,No,No
Aarush's Food Plaza,0,0,3.7,Good,0,1,78,"North Indian, Street Food",200.0,2,No,No
Wood Stove,0,0,5.0,Excellent,0,1,92,South Indian,150.0,2,No,No
Kulfi & More,0,0,3.7,Good,0,1,40,"Ice Cream, Desserts, Juices",150.0,2,No,No
Kannadigas Karavali,0,0,3.7,Good,0,1,78,"Mangalorean, South Indian, North Indian",250.0,2,No,No
K27 - The Pub,0,0,3.1,Good,30,1,8,"Chinese, North Indian",1000.0,2,No,No
Bengaluru Coffee House,1,0,4.1,Excellent,201,1,78,"South Indian, North Indian, Chinese, Street Food",300.0,2,Yes,No
New Mangalore Lunch Home,0,0,3.3,Good,7,1,78,"Mangalorean, South Indian, North Indian",200.0,2,No,No
Coffee Bytes,0,0,3.1,Good,6,1,78,"Fast Food, South Indian",100.0,2,No,No
Parjanya Chat Zone,0,0,3.3,Good,17,1,78,"Street Food, Fast Food",200.0,2,No,No
Kwality Wall's Swirl's Happiness Station,0,0,2.9,Bad,25,1,40,"Ice Cream, Desserts",200.0,2,No,No
Soms Kitchen & Bakes,0,0,3.7,Good,0,1,39,"South Indian, North Indian, Continental",400.0,2,No,No
Banashankari Nati Style,0,0,3.7,Good,0,1,78,"Biryani, Chinese, South Indian, North Indian",350.0,2,No,No
Ruchi Maayaka,0,0,3.3,Good,8,1,39,South Indian,100.0,2,No,No
Mohitesh Hut Roll,0,0,3.7,Good,0,1,78,"Rolls, North Indian",150.0,2,No,No
Sri Basaveshwar Jolada Rotti Oota,0,0,3.7,Good,0,1,78,South Indian,150.0,2,No,No
Roll Magic Fast Food,0,0,3.7,Good,0,1,92,"Biryani, Rolls, Chinese",200.0,2,No,No
Foodlieious Multi Cuisine,0,0,3.7,Good,0,1,78,North Indian,100.0,2,No,No
Thanishka Nati And Karavali Style,0,0,3.7,Good,0,1,78,"Biryani, Fast Food",400.0,2,No,No
Swathi Cool Point,0,0,3.7,Good,0,1,14,"Beverages, Juices",200.0,2,No,No
Kaumudis Juoice,0,0,5.0,Excellent,0,1,17,"Beverages, Fast Food, Juices",150.0,2,No,No
